Open,High,Low,Close,Adj Close,Volume,Date
35035.98438,35035.98438,32883.78125,33572.11719,33572.11719,37838957079,7/1/21
33549.60156,33939.58984,32770.67969,33897.04688,33897.04688,38728974942,7/2/21
33854.42188,34909.26172,33402.69531,34668.54688,34668.54688,24383958643,7/3/21
34665.56641,35937.56641,34396.47656,35287.78125,35287.78125,24924307911,7/4/21
35284.34375,35284.34375,33213.66016,33746.00391,33746.00391,26721554282,7/5/21
33723.50781,35038.53516,33599.91797,34235.19531,34235.19531,26501259870,7/6/21
34225.67969,34997.66406,33839.28906,33855.32813,33855.32813,24796027477,7/7/21
33889.60547,33907.90625,32133.18359,32877.37109,32877.37109,29910396946,7/8/21
32861.67188,34042.29297,32318.88086,33798.01172,33798.01172,27436021028,7/9/21
33811.24219,34209.07031,33116.01172,33520.51953,33520.51953,22971873468,7/10/21
33509.07813,34584.70313,33346.73828,34240.1875,34240.1875,20108729370,7/11/21
34254.01563,34592.15625,32697.30859,33155.84766,33155.84766,24321499537,7/12/21
33125.46875,33327.10156,32261.41992,32702.02539,32702.02539,19120856669,7/13/21
32723.8457,33061.39844,31639.125,32822.34766,32822.34766,21376531210,7/14/21
32827.875,33159.64063,31175.70898,31780.73047,31780.73047,21300524237,7/15/21
31841.55078,32218.40625,31100.67383,31421.53906,31421.53906,23699476918,7/16/21
31397.30859,31935.94531,31223.99023,31533.06836,31533.06836,18895018942,7/17/21
31533.88477,32398.99609,31215.49219,31796.81055,31796.81055,18787986667,7/18/21
31800.01172,31885.85938,30563.73438,30817.83203,30817.83203,20434789545,7/19/21
30838.28516,31006.1875,29360.95508,29807.34766,29807.34766,23148267245,7/20/21
29796.28516,32752.32617,29526.18359,32110.69336,32110.69336,28203024559,7/21/21
32138.87305,32576.40039,31745.29883,32313.10547,32313.10547,19555230518,7/22/21
32305.95898,33581.55078,32057.89258,33581.55078,33581.55078,22552046192,7/23/21
33593.73047,34490.39063,33424.85938,34292.44531,34292.44531,21664706865,7/24/21
34290.29297,35364.92578,33881.83594,35350.1875,35350.1875,20856685287,7/25/21
35384.03125,40499.67578,35287.3125,37337.53516,37337.53516,51022126212,7/26/21
37276.03516,39406.94141,36441.72656,39406.94141,39406.94141,35097370560,7/27/21
39503.1875,40816.07031,38862.4375,39995.90625,39995.90625,38702404695,7/28/21
39995.45313,40593.07031,39352.05859,40008.42188,40008.42188,27167146027,7/29/21
40027.48438,42235.54688,38397.35547,42235.54688,42235.54688,33072782960,7/30/21
42196.30469,42231.44922,41110.83203,41626.19531,41626.19531,25802845343,7/31/21
41460.84375,42541.67969,39540.94141,39974.89453,39974.89453,26688438115,8/1/21
39907.26172,40419.17969,38746.34766,39201.94531,39201.94531,25595265436,8/2/21
39178.40234,39750.03125,37782.05078,38152.98047,38152.98047,26189830450,8/3/21
38213.33203,39952.29688,37589.16406,39747.50391,39747.50391,25372562724,8/4/21
39744.51563,41341.93359,37458.00391,40869.55469,40869.55469,35185031017,8/5/21
40865.86719,43271.66016,39932.17969,42816.5,42816.5,38226483046,8/6/21
